ID base 10,ID base 16,Byte 0,Byte 1,Value 1,Byte 2,Byte 3,Value 2,Byte 4,Byte 5,Value 3,Byte 6,Byte 7,Value 4
882,361,0,118,118,0,0,0,252,11,64523,3,245,1013
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E9,0,0,0,0,0,0,0,0,0,0,0,0
1001,36F,0,0,0,0,0,0,3,133,901,0,0,0
879,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36B,0,0,0,0,0,0,0,0,0,0,0,0
875,363,3,245,1013,0,0,0,0,0,0,0,0,0
867,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E6,0,0,0,0,0,0,0,0,0,0,0,0
998,36C,0,0,0,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,360,0,9,9,10,187,2747,143,169,36777,213,186,54714
864,3E0,0,0,0,3,180,948,0,0,0,0,0,0
992,3E7,10,171,2731,10,71,2631,0,0,0,0,0,0
999,3E5,3,245,1013,0,0,0,0,0,0,0,0,0
997,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E2,0,0,0,3,180,948,0,0,0,0,0,0
994,369,0,0,0,0,0,0,0,0,0,0,0,0
873,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3E3,0,0,0,0,0,0,0,0,0,0,0,0
995,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36F,0,0,0,0,0,0,0,0,0,0,0,0
879,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3EA,0,0,0,3,181,949,0,0,0,0,0,0
1002,372,0,0,0,0,0,0,0,0,0,0,0,0
882,361,0,118,118,0,0,0,252,11,64523,3,245,1013
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36F,0,0,0,0,0,0,0,0,0,0,0,0
879,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3EA,0,0,0,3,181,949,0,0,0,0,0,0
1002,36B,0,0,0,0,0,0,0,0,0,0,0,0
875,361,3,245,1013,0,0,0,0,0,0,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E6,0,0,0,0,0,0,0,0,0,0,0,0
998,36C,0,0,0,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E0,0,0,0,0,0,0,0,0,0,0,0,0
992,29E,10,171,2731,10,71,2631,0,0,0,0,0,0
670,3E7,0,9,9,223,2,57090,136,53,34869,210,54,53814
999,37F,3,245,1013,0,0,0,0,0,0,0,0,0
895,36B,4,83,1107,0,0,0,0,0,0,0,0,0
875,3EA,3,245,1013,0,0,0,0,0,0,0,0,0
1002,369,0,0,0,0,0,0,0,0,0,0,0,0
873,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E2,0,0,0,3,181,949,0,0,0,0,0,0
994,3E6,0,0,0,0,0,0,0,0,0,0,0,0
998,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E9,0,0,0,3,181,949,0,0,0,0,0,0
1001,29E,0,0,0,0,0,0,3,133,901,0,0,0
670,36B,0,9,9,161,200,41416,237,31,60703,183,54,46902
875,361,3,245,1013,0,0,0,0,0,0,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,181,949,0,0,0,0,0,0
998,36C,0,0,0,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,363,0,0,0,0,0,0,0,0,0,0,0,0
867,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,3E7,4,80,1104,0,0,0,0,0,0,0,0,0
999,29E,3,245,1013,0,0,0,0,0,0,0,0,0
670,3EA,0,9,9,182,29,46621,20,122,5242,78,16,19984
1002,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,360,0,0,0,0,0,0,0,0,0,0,0,0
864,372,0,0,0,3,181,949,0,0,0,0,0,0
882,3EA,0,118,118,0,0,0,252,11,64523,3,245,1013
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E9,0,0,0,3,181,949,0,0,0,0,0,0
1001,3EA,0,0,0,0,0,0,3,133,901,0,0,0
1002,360,0,0,0,0,0,0,0,0,0,0,0,0
864,36B,0,0,0,3,181,949,0,0,0,0,0,0
875,29E,3,245,1013,0,0,0,0,0,0,0,0,0
670,361,0,9,9,190,33,48673,6,175,1711,92,166,23718
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36C,0,0,0,0,0,0,0,0,0,0,0,0
876,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,181,949,0,0,0,0,0,0
998,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,3E0,4,82,1106,0,0,0,0,0,0,0,0,0
